title;artist;album;isrc;addedDate;addedBy;duration;url
"Black Madonna";"Cage The Elephant";"Social Cues";USRC11803825;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;227s;https://open.spotify.com/track/4Y6GIje3GErVRIq1Ff5BJq
"Come a Little Closer";"Cage The Elephant";Melophobia;USRC11301144;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;229s;https://open.spotify.com/track/4sebUbjqbcgDSwG6PbSGI0
Trouble;"Cage The Elephant";"Tell Me I'm Pretty";USRC11502826;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;226s;https://open.spotify.com/track/5n0CTysih20NYdT2S0Wpe8
"Skin and Bones";"Cage The Elephant";"Social Cues";USRC11803827;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;196s;https://open.spotify.com/track/6ubPFMzlIg73d1jzzWcC8B
"Bad Dream";Cannons;"Bad Dream";USSM12100919;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;203s;https://open.spotify.com/track/2IwbIGkquI55VOzcWUg8fg
"Fire for You";Cannons;Shadows;QZ8GX1700490;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;232s;https://open.spotify.com/track/7MXMcK1xAEYzkfjKKwh6ry
"Safe And Sound";"Capital Cities";"In A Tidal Wave Of Mystery (Deluxe Edition)";USCA21203108;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;193s;https://open.spotify.com/track/6Z8R6UsFuGXGtiIxiD8ISb
Moderation;"Cate Le Bon";Moderation;QMV8L2131502;"2021-12-21 22:54";sj1bdpnkh9q3knr3ss718da1d;245s;https://open.spotify.com/track/0awSoObGwWsVAI3uTd18FI
2all;"Catfish and the Bottlemen";"The Balance";GBUM71806861;"2021-11-09 02:02";sj1bdpnkh9q3knr3ss718da1d;188s;https://open.spotify.com/track/0ZfEeIu7CNHQhbCTiVv3cx
Gone;"Charli XCX, Christine and the Queens";Charli;GBAHS1900779;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;246s;https://open.spotify.com/track/1yUJK3qxPiFiPeAG2gLfuW
"Dizzy (feat. Thomas Headon and Alfie Templeman)";"chloe moriondo, Thomas Headon, Alfie Templeman";"Dizzy (feat. Thomas Headon and Alfie Templeman)";USAT22105353;"2021-12-06 23:36";sj1bdpnkh9q3knr3ss718da1d;158s;https://open.spotify.com/track/3Gplr4iOpewQ9ynbZujzlu
"The Mother We Share";CHVRCHES;"The Bones of What You Believe";GBZN81300014;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;191s;https://open.spotify.com/track/2pE0CMK1fE3mfU0eEOHhKw
"He Said She Said";CHVRCHES;"He Said She Said";GBZN82100002;"2021-04-20 21:49";sj1bdpnkh9q3knr3ss718da1d;189s;https://open.spotify.com/track/5vbWQS1JfSHKfErfFdS9Ug
"Good Girls";CHVRCHES;"Good Girls";GBZN82100007;"2021-07-15 01:58";sj1bdpnkh9q3knr3ss718da1d;199s;https://open.spotify.com/track/7rvEHS085Fy3OBX2pjstGP
"He Said She Said";CHVRCHES;"Screen Violence";GBZN82100002;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;189s;https://open.spotify.com/track/2n8AlcCqCzkOQtQP4swNiR
"Backyard Boy";"Claire Rosinkranz";"BeVerly Hills BoYfRiEnd";QZHN62022495;"2021-12-21 22:54";sj1bdpnkh9q3knr3ss718da1d;129s;https://open.spotify.com/track/0y9fkzOaaQy4Up22BGUbIp
Sofia;Clairo;Immunity;US4HB1900086;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;188s;https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
"Talk Too Much";COIN;"How Will You Know If You Never Try";USSM11602662;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;187s;https://open.spotify.com/track/4djIFfof5TpbSGRZUpsTXq
Chapstick;COIN;Chapstick;QZJ842001241;"2021-10-22 00:14";sj1bdpnkh9q3knr3ss718da1d;193s;https://open.spotify.com/track/2c0NslS6dfGp1LT1iXbqyS
"Love Is Mystical";"Cold War Kids";"LA DIVINE";USUG11700005;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;214s;https://open.spotify.com/track/12pdXFcruNcPUbZypKUDgz
First;"Cold War Kids";"Hold My Home";USCJ81401258;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;200s;https://open.spotify.com/track/3omXshBamrREltcf24gYDC
Complainer;"Cold War Kids";"New Age Norms 1";GBKPL1952563;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;220s;https://open.spotify.com/track/6ikOGMtTgDxzZLrNuemotc
"What You Say";"Cold War Kids";"What You Say";GBKPL2152989;"2021-06-17 19:13";sj1bdpnkh9q3knr3ss718da1d;209s;https://open.spotify.com/track/2uZeiDN9WNvkVdMe4gQPFv
